what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1455014257772
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014258374
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1455014258584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014264327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455014375365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455014376573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014380998
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1455014381113
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1455014381452
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455014381474
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1455014381559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014426577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014537589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1455014661913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1455014664461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014684416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014885411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014899328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455014961002
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1455015040775
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1455015040807
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1455015040812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1455015040830
